"filename", "language", "TypeScript", "JSON", "JavaScript", "Markdown", "JSON with Comments", "XML", "CSS", "TypeScript JSX", "comment", "blank", "total"
"d:\1-git\prod\dev-soodam\src\pages\authentication\login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 12, 8, 125
"d:\1-git\prod\dev-soodam\src\pages\contacts\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 3, 9, 144
"d:\1-git\prod\dev-soodam\src\pages\filterControls\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 729, 17, 49, 795
"d:\1-git\prod\dev-soodam\src\pages\housing\[adCode].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 436, 21, 38, 495
"d:\1-git\prod\dev-soodam\src\pages\housing\ad\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 25, 5, 107
"d:\1-git\prod\dev-soodam\src\pages\housing\ad\new\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 3, 3, 93
"d:\1-git\prod\dev-soodam\src\pages\housing\my-ads\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 1, 3, 52
"d:\1-git\prod\dev-soodam\src\pages\housing\unauthorize.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 1, 6, 57
"d:\1-git\prod\dev-soodam\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 2, 8, 126
"d:\1-git\prod\dev-soodam\src\pages\lists\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 2, 9, 124
"d:\1-git\prod\dev-soodam\src\pages\marketer\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 2, 8, 89
